title,subtitle,url,star,quote
"['肖申克的救赎', '\xa0/\xa0The Shawshank Redemption']",['\xa0/\xa0月黑高飞(港)  /  刺激1995(台)'],https://movie.douban.com/subject/1292052/,9.7,希望让人自由。
['霸王别姬'],['\xa0/\xa0再见，我的妾  /  Farewell My Concubine'],https://movie.douban.com/subject/1291546/,9.6,风华绝代。
"['阿甘正传', '\xa0/\xa0Forrest Gump']",['\xa0/\xa0福雷斯特·冈普'],https://movie.douban.com/subject/1292720/,9.5,一部美国近现代史。
"['泰坦尼克号', '\xa0/\xa0Titanic']",['\xa0/\xa0铁达尼号(港 / 台)'],https://movie.douban.com/subject/1292722/,9.4,失去的才是永恒的。 
"['这个杀手不太冷', '\xa0/\xa0Léon']",['\xa0/\xa0终极追杀令(台)  /  杀手莱昂'],https://movie.douban.com/subject/1295644/,9.4,怪蜀黍和小萝莉不得不说的故事。
"['美丽人生', '\xa0/\xa0La vita è bella']",['\xa0/\xa0一个快乐的传说(港)  /  Life Is Beautiful'],https://movie.douban.com/subject/1292063/,9.6,最美的谎言。
"['千与千寻', '\xa0/\xa0千と千尋の神隠し']",['\xa0/\xa0神隐少女(台)  /  千与千寻的神隐'],https://movie.douban.com/subject/1291561/,9.4,最好的宫崎骏，最好的久石让。 
"['辛德勒的名单', ""\xa0/\xa0Schindler's List""]",['\xa0/\xa0舒特拉的名单(港)  /  辛德勒名单'],https://movie.douban.com/subject/1295124/,9.6,拯救一个人，就是拯救整个世界。
"['盗梦空间', '\xa0/\xa0Inception']",['\xa0/\xa0潜行凶间(港)  /  全面启动(台)'],https://movie.douban.com/subject/3541415/,9.4,诺兰给了我们一场无法盗取的梦。
"['忠犬八公的故事', ""\xa0/\xa0Hachi: A Dog's Tale""]",['\xa0/\xa0秋田犬八千(港)  /  忠犬小八(台)'],https://movie.douban.com/subject/3011091/,9.4,永远都不能忘记你所爱的人。
"['星际穿越', '\xa0/\xa0Interstellar']",['\xa0/\xa0星际启示录(港)  /  星际效应(台)'],https://movie.douban.com/subject/1889243/,9.4,爱是一种力量，让我们超越时空感知它的存在。
"['楚门的世界', '\xa0/\xa0The Truman Show']",['\xa0/\xa0真人Show(港)  /  真人戏'],https://movie.douban.com/subject/1292064/,9.3,如果再也不能见到你，祝你早安，午安，晚安。
"['海上钢琴师', ""\xa0/\xa0La leggenda del pianista sull'oceano""]",['\xa0/\xa0声光伴我飞(港)  /  一九零零的传奇'],https://movie.douban.com/subject/1292001/,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
"['三傻大闹宝莱坞', '\xa0/\xa03 Idiots']",['\xa0/\xa0三个傻瓜(台)  /  作死不离3兄弟(港)'],https://movie.douban.com/subject/3793023/,9.2,英俊版憨豆，高情商版谢耳朵。
"['机器人总动员', '\xa0/\xa0WALL·E']",['\xa0/\xa0太空奇兵·威E(港)  /  瓦力(台)'],https://movie.douban.com/subject/2131459/,9.3,小瓦力，大人生。
"['放牛班的春天', '\xa0/\xa0Les choristes']",['\xa0/\xa0歌声伴我心(港)  /  唱诗班男孩'],https://movie.douban.com/subject/1291549/,9.3,天籁一般的童声，是最接近上帝的存在。 
"['无间道', '\xa0/\xa0無間道']",['\xa0/\xa0Infernal Affairs  /  Mou gaan dou'],https://movie.douban.com/subject/1307914/,9.3,香港电影史上永不过时的杰作。
"['疯狂动物城', '\xa0/\xa0Zootopia']",['\xa0/\xa0优兽大都会(港)  /  动物方城市(台)'],https://movie.douban.com/subject/25662329/,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
"['大话西游之大圣娶亲', '\xa0/\xa0西遊記大結局之仙履奇緣']",['\xa0/\xa0西游记完结篇仙履奇缘  /  齐天大圣西游记'],https://movie.douban.com/subject/1292213/,9.2,一生所爱。
"['熔炉', '\xa0/\xa0도가니']",['\xa0/\xa0无声呐喊(港)  /  漩涡'],https://movie.douban.com/subject/5912992/,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"['控方证人', '\xa0/\xa0Witness for the Prosecution']",['\xa0/\xa0雄才伟略  /  情妇'],https://movie.douban.com/subject/1296141/,9.6,比利·怀德满分作品。
"['教父', '\xa0/\xa0The Godfather']","[""\xa0/\xa0Mario Puzo's The Godfather""]",https://movie.douban.com/subject/1291841/,9.3,千万不要记恨你的对手，这样会让你失去理智。
"['当幸福来敲门', '\xa0/\xa0The Pursuit of Happyness']",['\xa0/\xa0寻找快乐的故事(港)  /  追求快乐'],https://movie.douban.com/subject/1849031/,9.2,平民励志片。 
"['触不可及', '\xa0/\xa0Intouchables']",['\xa0/\xa0闪亮人生(港)  /  逆转人生(台)'],https://movie.douban.com/subject/6786002/,9.3,满满温情的高雅喜剧。
"['怦然心动', '\xa0/\xa0Flipped']",['\xa0/\xa0萌动青春  /  青春萌动'],https://movie.douban.com/subject/3319755/,9.1,真正的幸福是来自内心深处。
"['龙猫', '\xa0/\xa0となりのトトロ']",['\xa0/\xa0邻居托托罗  /  邻家的豆豆龙'],https://movie.douban.com/subject/1291560/,9.2,人人心中都有个龙猫，童年就永远不会消失。
"['末代皇帝', '\xa0/\xa0The Last Emperor']",['\xa0/\xa0末代皇帝溥仪(港)'],https://movie.douban.com/subject/1293172/,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
